tps,epcount,best_ext_ret,n_updates,retstd,idn_loss,rew_mean_ext,advstd,ups,rew_std_int,vfn_loss,tcount,nsn_loss,vpredstd,advmean,rew_mean_int,metricmean,total_secs,eprew,rew_std_ext,idn_pg_loss,metricstd,metric,eprew_recent,eplen,retmean,vpredmean
10783.950988515444,12947.0,1.0,408,0.28541866,-6.507103777645762e-05,0.068359375,0.014954127,21.062404274444226,0.46223614,9.397477363866832e-05,210105.0,0.3498188654581706,0.28646973,-0.00027758186,0.35195643,0.35195643,19.25774598121643,0.94,0.2523616,0.00025976238490936043,0.46223614,0.0,0.9459459459459459,13.57,7.4624863,7.462764
10610.306764955829,12984.0,1.0,409,0.28542152,0.0003402067037920157,0.064453125,0.009163841,20.723255400304353,0.5669989,4.3357212841025707e-05,210605.0,0.3618703956405322,0.2851454,-0.00067807484,0.3642317,0.3642317,19.30600094795227,0.94,0.24555838,0.0006723936967318878,0.5669989,0.0,0.8918918918918919,13.66,7.46811,7.468788
10413.70812299665,13021.0,1.0,410,0.28986436,0.005636011900302644,0.0703125,0.058344863,20.33927367772783,0.5695799,0.0016550272002859852,211117.0,0.3582542762160301,0.28752312,-0.006026486,0.36091375,0.36091375,19.355166912078857,0.93,0.25567293,0.005952389491236923,0.5695799,0.0,0.918918918918919,13.76,7.4742403,7.4802666
10818.557420654912,13059.0,1.0,411,0.28987,-0.001366572629194707,0.06640625,0.0104672,21.129994962216625,0.54957855,5.143433539463635e-05,211646.0,0.3515228355924288,0.29053387,0.0010531216,0.35212412,0.35212412,19.402493000030518,0.96,0.24899088,-0.0010554609822672019,0.54957855,0.0,0.9736842105263158,13.95,7.47083,7.469777
10681.606844238851,13098.0,1.0,412,0.28904152,-0.0010916134572956555,0.068359375,0.007858598,20.862513367654007,0.46241355,2.417919055612098e-05,212181.0,0.3292349899808566,0.2893344,0.000785784,0.32978597,0.32978597,19.45042586326599,0.97,0.2523616,-0.0007838053406885592,0.46241355,0.0,0.9487179487179487,13.87,7.4690695,7.468283
10843.52210378554,13136.0,1.0,413,0.28709733,-0.004075596564992641,0.06640625,0.017400965,21.178754108956134,0.624314,0.0001555928884044988,212708.0,0.3701093296209971,0.28675774,0.0037637814,0.3725865,0.3725865,19.497642993927002,0.97,0.24899088,-0.003791392118728254,0.624314,0.0,0.9736842105263158,13.85,7.469904,7.4661407
10831.435096638825,13175.0,1.0,414,0.2886508,-0.0010373513468948659,0.06640625,0.0103123505,21.155146673122704,0.4450605,4.503071901732861e-05,213236.0,0.33776634931564326,0.28701228,0.00072457746,0.33788452,0.33788452,19.544912815093994,0.95,0.24899088,-0.0007235354144844072,0.4450605,0.0,0.8974358974358975,13.78,7.469137,7.4684124
10784.1676065745,13215.0,1.0,415,0.29205889,-0.00021513623263066017,0.0703125,0.028248915,21.06282735659082,0.46267828,0.0003876088746892492,213775.0,0.34554785241683317,0.29257715,-0.00017035316,0.34727418,0.34727418,19.592389822006226,0.92,0.25567293,9.902931924443699e-05,0.46267828,0.0,0.9,13.61,7.4690437,7.4692144
11004.835748693245,13255.0,1.0,416,0.2911479,0.0010051005083369091,0.06640625,0.008029583,21.493819821666495,0.5891329,3.7733590185477325e-05,214311.0,0.3647409602999687,0.29058757,-0.0013281045,0.36629945,0.36629945,19.638914823532104,0.92,0.24899088,0.0013183198825572617,0.5891329,0.0,0.9,13.55,7.463378,7.4647064
10792.785228220773,13291.0,1.0,417,0.28555506,-0.0011204543977025123,0.06640625,0.014455338,21.079658648868698,0.48364067,9.728958745351217e-05,214817.0,0.37792555987834925,0.28471825,0.00078912824,0.3808456,0.3808456,19.68635392189026,0.95,0.24899088,-0.000796223931198862,0.48364067,0.0,0.9722222222222222,13.78,7.4694653,7.4686756
10909.18333155534,13329.0,1.0,418,0.28733245,0.00048617225062722963,0.064453125,0.008267562,21.306998694444022,0.46398473,3.737846403358465e-05,215326.0,0.3499740933378538,0.2866078,-0.0007982159,0.35165447,0.35165447,19.73328685760498,0.95,0.24555838,0.0007945882074030427,0.46398473,0.0,0.8947368421052632,13.82,7.472437,7.473235
10750.641529080769,13368.0,1.0,419,0.2903379,-0.0004874222019376854,0.068359375,0.01663023,20.997346736485877,0.5506236,0.00012546460523784236,215865.0,0.37824590504169464,0.2885746,0.0001878643,0.37969896,0.37969896,19.780911922454834,0.94,0.2523616,-0.00019969625767165172,0.5506236,0.0,0.9487179487179487,13.7,7.4740596,7.473872
10896.39666737703,13406.0,1.0,420,0.29481426,-0.0002518335216639874,0.07421875,0.016863419,21.282024740970762,0.72775304,0.00011717971043860112,216382.0,0.3997156918048859,0.29403025,-7.692148e-05,0.4019577,0.4019577,19.827899932861328,0.95,0.26212654,6.15578076879805e-05,0.72775304,0.0,0.9210526315789473,13.8,7.479796,7.4798727
10655.107534297551,13446.0,1.0,421,0.28982162,0.0031120230220646286,0.06640625,0.008706245,20.810756902924904,0.38761422,3.313810824086734e-05,216921.0,0.3245151713490486,0.2898301,-0.0034435922,0.32644522,0.32644522,19.875952005386353,0.94,0.24899088,0.0034363622398814186,0.38761422,0.0,0.925,13.65,7.458849,7.4622927
10853.660948761233,13480.0,1.0,422,0.28342873,0.0016630067354223381,0.06640625,0.009268345,21.198556540549284,0.5512588,3.978129598181113e-05,217395.0,0.3556547661622365,0.28379378,-0.0019822982,0.3563762,0.3563762,19.92312502861023,0.95,0.24899088,0.0019818592627416365,0.5512588,0.0,0.9705882352941176,13.73,7.472929,7.474911
10798.483665126289,13517.0,1.0,423,0.28457487,-0.0005011672692489811,0.068359375,0.0067202877,21.090788408449782,0.43541336,2.5164544922517965e-05,217902.0,0.3230718647440275,0.28534964,0.00016758793,0.32660753,0.32660753,19.970539093017578,0.97,0.2523616,-0.0001859607655205764,0.43541336,0.0,0.9459459459459459,13.89,7.4744477,7.4742804
10814.253511197056,13552.0,1.0,424,0.28751028,0.0038170947785450457,0.06640625,0.05557763,21.12158888905675,0.5381505,0.0015090789505241748,218395.0,0.33890298257271445,0.28517202,-0.00419019,0.34015116,0.34015116,20.017884016036987,0.97,0.24899088,0.004103469097268922,0.5381505,0.0,0.9714285714285714,13.96,7.476776,7.4809666
10831.216575544213,13591.0,1.0,425,0.29176143,0.002093372005523027,0.0703125,0.009490794,21.15471987410979,0.61051875,4.043798890052131e-05,218938.0,0.37357063591480255,0.29022917,-0.002459019,0.37742016,0.37742016,20.065154790878296,0.97,0.25567293,0.0024403213756158952,0.61051875,0.0,0.9487179487179487,14.0,7.482499,7.4849586
10681.075566387308,13632.0,1.0,426,0.28989157,-0.0013419308719070007,0.06640625,0.008444162,20.86147571560021,0.5856465,3.481130761429086e-05,219514.0,0.35211770236492157,0.29105037,0.0010260555,0.3582096,0.3582096,20.11309003829956,0.98,0.24899088,-0.0010409881118296955,0.5856465,0.0,1.0,14.0,7.4660077,7.464982
10904.53016477518,13670.0,1.0,427,0.28947398,-0.0004587154350398729,0.072265625,0.008774253,21.297910478076524,0.468546,4.717273062245416e-05,220028.0,0.3320529758930206,0.2900442,0.00014066946,0.33684298,0.33684298,20.160043001174927,0.97,0.25892723,-0.0001390823247978309,0.468546,0.0,0.9210526315789473,13.85,7.4725585,7.472418
10848.178138797119,13707.0,1.0,428,0.29101428,0.0026920412977536525,0.06640625,0.011994786,21.187847927338122,0.61371064,5.165979215841313e-05,220523.0,0.3605055933197339,0.28906325,-0.003030897,0.36401737,0.36401737,20.207239866256714,0.93,0.24899088,0.0030212122461913777,0.61371064,0.0,0.8918918918918919,13.6,7.462384,7.465415
10757.642608103233,13741.0,1.0,429,0.2910141,0.0013468594358225043,0.0703125,0.0077588116,21.011020718951627,0.52608764,2.3649606115820162e-05,220979.0,0.3339167833328247,0.29133046,-0.001654445,0.3361758,0.3361758,20.254833936691284,0.93,0.25567293,0.0016434487273121099,0.52608764,0.0,0.9117647058823529,13.58,7.4705153,7.47217
10493.702010799188,13779.0,1.0,430,0.29047418,0.00014073613419895992,0.06640625,0.0075437254,20.495511739842165,0.5690381,3.0006459383002945e-05,221498.0,0.3509385958313942,0.29105276,-0.00047565563,0.35349435,0.35349435,20.303625106811523,0.94,0.24899088,0.0004567100974478915,0.5690381,0.0,0.9210526315789473,13.69,7.4636908,7.4641666
10811.095858274139,13817.0,1.0,431,0.28826857,0.00045100291996883846,0.064453125,0.011551653,21.115421598191677,0.50122833,6.559659739953835e-05,222034.0,0.3540771082043648,0.2879753,-0.00079193915,0.35675764,0.35675764,20.35098385810852,0.96,0.24555838,0.0007515700193228746,0.50122833,0.0,0.9736842105263158,13.91,7.465078,7.46587
10808.756029796657,13856.0,1.0,432,0.28755265,-0.00217674200393958,0.064453125,0.016360603,21.110851620696597,0.4550262,0.00014145687722096528,222572.0,0.34698549409707385,0.2861591,0.0018390294,0.3527536,0.3527536,20.39835286140442,0.97,0.24555838,-0.001869458268629387,0.4550262,0.0,0.9487179487179487,13.96,7.467614,7.4657755
10792.785228220773,13897.0,1.0,433,0.29029983,0.00015219479973893615,0.068359375,0.007747387,21.079658648868698,0.5176228,3.321331284193244e-05,223130.0,0.35662110398213065,0.29003075,-0.00047844258,0.35785648,0.35785648,20.445791959762573,0.95,0.2523616,0.0004588787439085233,0.5176228,0.0,0.926829268292683,13.8,7.466877,7.4673557
10765.786086337499,13939.0,1.0,434,0.2916685,0.0006177664084437613,0.07421875,0.0092209,21.026925949877928,0.39069393,3.640314283378151e-05,223698.0,0.32747596502304077,0.2926641,-0.0009305682,0.33035076,0.33035076,20.4933500289917,0.93,0.26212654,0.0009406746042562492,0.39069393,0.0,0.9047619047619048,13.64,7.4603043,7.461234
10720.96156399926,13977.0,1.0,435,0.2878638,-0.002202270023796397,0.06640625,0.021390669,20.939378054686056,0.60592633,0.000218238874670836,224201.0,0.3948603545626005,0.28621593,0.0017880364,0.39757508,0.39757508,20.541106939315796,0.92,0.24899088,-0.0018642844236940919,0.60592633,0.0,0.8947368421052632,13.52,7.461742,7.459954
10851.138168000647,14013.0,1.0,436,0.2855246,-0.000838044844082712,0.06640625,0.012235304,21.193629234376264,0.451984,5.418971416778125e-05,224692.0,0.32718168447415036,0.28605995,0.00052487676,0.32905114,0.32905114,20.58829092979431,0.94,0.24899088,-0.0005492267543255973,0.451984,0.0,0.9444444444444444,13.58,7.470295,7.4697704
10841.93448846884,14052.0,1.0,437,0.28908992,0.0013830037253986425,0.0703125,0.007283426,21.175653297790703,0.71394336,3.580774925164102e-05,225218.0,0.3578839674592018,0.28956354,-0.0017067915,0.3624001,0.3624001,20.635514974594116,0.94,0.25567293,0.0016998061231182269,0.71394336,0.0,0.8974358974358975,13.67,7.4716268,7.4733334
10809.028050836794,14087.0,1.0,438,0.28753793,-0.0011131242426927204,0.068359375,0.011476036,21.111382911790614,0.6260608,6.599193238798762e-05,225714.0,0.372031698624293,0.28642786,0.0008066445,0.3763415,0.3763415,20.68288278579712,0.96,0.2523616,-0.0007965413175649397,0.6260608,0.0,1.0,13.86,7.4759035,7.4750967
10841.93448846884,14126.0,1.0,439,0.2939299,0.0018996609457341644,0.0703125,0.017329998,21.175653297790703,0.6481741,0.00013684970720836037,226240.0,0.38673161963621777,0.29292366,-0.0022765677,0.388923,0.388923,20.730106830596924,0.97,0.25567293,0.002212866257953768,0.6481741,0.0,0.9230769230769231,13.89,7.468033,7.4703093
10703.648229834871,14164.0,1.0,440,0.28931338,-0.0004971390493058909,0.064453125,0.015154028,20.905562948896232,0.49409828,0.00010112393313950935,226767.0,0.35469240446885425,0.28954002,0.00016898892,0.3571068,0.3571068,20.77794098854065,0.95,0.24555838,-0.00018859855723955354,0.49409828,0.0,0.9473684210526315,13.78,7.4667025,7.466533
10763.303986086537,14203.0,1.0,441,0.28959766,-0.0006361299335064056,0.06640625,0.009632805,21.02207809782527,0.46912512,6.464448748981037e-05,227288.0,0.3515905886888504,0.28970525,0.0003031197,0.35568494,0.35568494,20.825510025024414,0.94,0.24899088,-0.0002906479300387824,0.46912512,0.0,0.8974358974358975,13.72,7.468105,7.467801
10827.994413266979,14241.0,1.0,442,0.28697306,-3.88637126889079e-05,0.068359375,0.0152431335,21.148426588412068,0.52962583,9.912020732372184e-05,227821.0,0.3443383425474167,0.28708076,-0.000302871,0.3462189,0.3462189,20.87279486656189,0.96,0.2523616,0.00027163431514054537,0.52962583,0.0,1.0,13.79,7.467828,7.46813
10878.567655327879,14279.0,1.0,443,0.28937754,-0.002612713542475831,0.0703125,0.016444014,21.247202451812264,0.5569471,0.00012151201493300809,228340.0,0.3671993513902028,0.28914377,0.0023009672,0.36805302,0.36805302,20.919859886169434,0.97,0.25567293,-0.002305498618928444,0.5569471,0.0,0.9210526315789473,13.89,7.4760785,7.473778
10898.00027403795,14316.0,1.0,444,0.2898508,0.00030145269071605674,0.072265625,0.01416277,21.28515678523037,0.5436799,9.688500495030894e-05,228852.0,0.3617153291900953,0.28789708,-0.0006120838,0.36412233,0.36412233,20.966840982437134,0.95,0.25892723,0.000605933804763481,0.5436799,0.0,0.9459459459459459,13.82,7.4756775,7.4762897
