advstd_NSN,best_ext_ret,ext_reward,total_secs,tps,rew_mean_IDN,retstd_NSN,vpredmean_NSN,retstd_IDN,loss,retmean_NSN,advstd_IDN,vpredstd_NSN,vfn_loss,eplen,ups,metric,idn_pg_loss,retmean_IDN,n_updates,eprew_recent,ext_reward_std,rew_mean_NSN,vpredstd_IDN,tcount,eprew,advmean_NSN,advmean_IDN,vpredmean_IDN,epcount
7.511783e-05,1.0,0.125,76.15872526168823,9691.991569369915,-0.029478224,0.27434027,16.626251,0.009485006,-6.548739330961933e-06,16.626211,0.0006867111,0.2743675,1.6087107930218279e-06,5.68,18.929671033925615,0.029478223994374272,-9.958942731221516e-07,-2.9792542,1433,0.6666666666666666,0.33071890473365784,0.125,0.009687339,762794.0,0.68,-4.0664603e-05,0.002239888,-2.981494,123463.0
7.004103e-05,1.0,0.125,76.21169996261597,9664.990854756246,-0.029566761,0.2743396,16.626091,0.009393283,-4.985358979562686e-06,16.62606,0.00070258835,0.2743615,7.220686164544077e-07,5.68,18.876935263195794,0.02956676110625267,-1.2678404649098716e-06,-2.9776783,1434,0.6666666666666666,0.33071890473365784,0.125,0.009588221,763338.0,0.68,-2.9217228e-05,0.0011823805,-2.9788606,123559.0
0.023751013,1.0,0.125,76.26460599899292,9677.534645612517,-0.03924711,0.2767986,16.625313,0.35372698,-0.0020232306172450407,16.623468,0.35327077,0.274453,0.06348721048527275,5.7,18.901434854711948,0.039247110175589725,-0.0017994226266940493,-3.004611,1435,0.6666666666666666,0.33071890473365784,0.125,0.009488618,763884.0,0.68,-0.0018427923,-0.027315045,-2.9772959,123655.0
0.00093168597,1.0,0.125,76.31740713119507,9696.761767149514,-0.035396732,0.27434602,16.622086,0.021992363,9.994552662343875e-05,16.621944,0.015183883,0.2737728,0.0003164874657765418,5.66,18.938987826463894,0.03539673238992691,5.5258472760518394e-08,-2.9978166,1436,0.6666666666666666,0.33071890473365784,0.125,0.014070515,764426.0,0.68,-0.00014125352,-0.035853565,-2.961963,123751.0
0.0002636774,1.0,0.125,76.37022495269775,9693.697798080655,-0.03787351,0.27431834,16.620434,0.028330827,1.624039077796624e-05,16.620514,0.0203388,0.27432096,0.0006549378582955494,5.68,18.93300351187628,0.037873510271310806,1.1175870895385742e-08,-3.0355387,1437,0.6666666666666666,0.33071890473365784,0.125,0.018489148,764970.0,0.68,8.03767e-05,-0.048730977,-2.9868078,123847.0
0.0005907417,1.0,0.125,76.42304110527039,9694.004107851413,-0.03833326,0.27432194,16.619932,0.0285209,5.2462721517561775e-05,16.619688,0.01953479,0.27387348,0.0007207478107981539,5.68,18.93360177314729,0.038333259522914886,-1.0182460149129231e-07,-3.0833654,1438,0.6666666666666666,0.33071890473365784,0.125,0.019513428,765514.0,0.68,-0.00024262701,-0.049089767,-3.0342753,123943.0
0.00042673285,1.0,0.125,76.47589898109436,9686.352166421593,-0.038114768,0.27432278,16.619808,0.026900854,4.8970851215320486e-05,16.619736,0.016952554,0.2740227,0.0006162471618154086,5.68,18.918656575042174,0.0381147675216198,-2.421438694000244e-07,-3.1316411,1439,0.6666666666666666,0.33071890473365784,0.125,0.019947413,766058.0,0.68,-7.359098e-05,-0.044661757,-3.0869794,124039.0
0.00042552943,1.0,0.125,76.52896523475647,9648.316296456042,-0.03773688,0.27432224,16.620201,0.025181096,4.150926057870189e-05,16.620073,0.014304906,0.2740199,0.0004715761515399208,5.68,18.844367766515706,0.03773688152432442,-1.6577541828155518e-07,-3.1756752,1440,0.6666666666666666,0.33071890473365784,0.125,0.020154953,766602.0,0.68,-0.00012746768,-0.03873831,-3.1369367,124135.0
0.00040519758,1.0,0.125,76.58179807662964,9690.941880982144,-0.03734649,0.27432325,16.620747,0.023746068,3.761191298205328e-05,16.62059,0.011955592,0.2740387,0.0003400639125175075,5.68,18.92762086129325,0.0373464897274971,-3.8929283618927e-07,-3.2137597,1441,0.6666666666666666,0.33071890473365784,0.125,0.020157572,767146.0,0.68,-0.00015841695,-0.03266591,-3.1810937,124231.0
0.00031250107,1.0,0.125,76.63474321365356,9670.387665039538,-0.036975313,0.2743257,16.621313,0.022598756,4.082548184669577e-05,16.621218,0.009911809,0.27411932,0.00023582449284731408,5.68,18.887475908280347,0.03697531297802925,-3.0919909477233887e-07,-3.2456765,1442,0.6666666666666666,0.33071890473365784,0.125,0.020062322,767690.0,0.68,-9.672447e-05,-0.027015153,-3.218661,124327.0
0.0002633672,1.0,0.125,76.6878662109375,9638.010394319926,-0.036631815,0.2743277,16.621918,0.021687102,4.692606641280387e-05,16.621845,0.008146701,0.27414924,0.000158872190695547,5.68,18.824239051406106,0.03663181513547897,3.1044085820515946e-08,-3.2718673,1443,0.6666666666666666,0.33071890473365784,0.125,0.019952215,768234.0,0.68,-7.1691305e-05,-0.022022778,-3.2498443,124423.0
0.00019689483,1.0,0.125,76.7422149181366,9420.64726810116,-0.03631635,0.27433035,16.622498,0.020959578,4.443613518863761e-05,16.622446,0.0066238996,0.27419814,0.00010435827486314034,5.68,18.39970169551008,0.03631635010242462,-2.508362134297689e-07,-3.2930107,1444,0.6666666666666666,0.33071890473365784,0.125,0.019843921,768778.0,0.68,-4.9850896e-05,-0.017729972,-3.275281,124519.0
0.00015320852,1.0,0.125,76.80680513381958,7926.897202402265,-0.03602244,0.27433124,16.623035,0.02037163,4.913442110895025e-05,16.622997,0.005294996,0.2742325,6.650927108845887e-05,5.68,15.482221098441924,0.03602243959903717,-1.601874828338623e-07,-3.3097894,1445,0.6666666666666666,0.33071890473365784,0.125,0.019727277,769322.0,0.68,-3.8618018e-05,-0.014048044,-3.2957416,124615.0
