vpredmean_IDN,ups,retstd_NSN,retmean_IDN,advstd_IDN,vpredstd_NSN,advmean_NSN,advmean_IDN,loss,rew_mean_IDN,eplen,vpredmean_NSN,vfn_loss,idn_pg_loss,n_updates,eprew_recent,tps,advstd_NSN,ext_reward,retstd_IDN,epcount,retmean_NSN,rew_mean_NSN,metric,ext_reward_std,total_secs,vpredstd_IDN,eprew,best_ext_ret,tcount
-5.854118,19.004549161758042,0.25459605,-15.979342,5.6199946,0.07695733,0.04662751,-10.125225,2.0159693857034044,-1.6487147,6.88,0.76382256,65.47090466817221,0.0015930322309335079,49,0.08860759493670886,9730.329170820118,0.272894,0.013671874999999998,5.485053,3862.0,0.8104501,0.013671875,1.648714671532313,0.11612474173307419,2.642077922821045,0.6745873,0.08,1.0,24916.0
-6.272745,19.011440485903364,0.3317199,-16.072554,5.430313,0.077051155,0.11113104,-9.79981,1.9543253084023795,-1.6051015,6.31,0.8213481,61.18096542358399,0.0005426984280347848,50,0.17857142857142858,9733.857528782522,0.34798232,0.03125,5.322058,3946.0,0.93247914,0.03125,1.6051014165083568,0.1739926338195801,2.6946778297424316,0.6620088,0.15,1.0,25436.0
-6.5618615,18.982530458552834,0.30504125,-16.445702,5.288449,0.0853235,0.06657708,-9.883841,2.0159247815608983,-1.6268138,6.64,0.9059999,61.1506191889445,0.0005245137338836976,51,0.12,9719.05559477905,0.3190885,0.01953125,5.164794,4021.0,0.972577,0.01953125,1.626813799142837,0.13838273286819458,2.7473578453063965,0.6917438,0.14,1.0,25962.0
-7.0296135,18.090046882345582,0.4049538,-16.97852,5.806054,0.090150654,0.17191502,-9.948904,1.9798236091931662,-1.6138866,6.53,1.0003757,64.59673372904459,0.001991394596795242,52,0.1875,9262.104003760938,0.42016476,0.03320312499999999,5.66623,4101.0,1.1722909,0.033203125,1.6138865550359092,0.1791666150093079,2.8026368618011475,0.70625615,0.17,1.0,26485.0
-7.456048,17.68465080194964,0.3337434,-17.57956,5.215436,0.100048155,0.11329187,-10.123512,2.0289353132247925,-1.657362,6.73,1.1434247,62.911067962646484,0.003010530024766922,53,0.21052631578947367,9054.541210598216,0.35677543,0.03125,5.1214876,4177.0,1.2567167,0.03125,1.6573619643847153,0.1739926338195801,2.8591830730438232,0.723018,0.22,1.0,27015.0
-7.8272686,18.04863397148746,0.39209512,-17.736115,5.1677337,0.11266047,0.12545902,-9.908846,1.9625217318534849,-1.6260277,6.5,1.2711093,60.49953905741374,0.002680562747021517,54,0.25,9240.90059340158,0.41097093,0.037109375,5.095162,4249.0,1.3965683,0.037109375,1.626027633746465,0.1890298128128052,2.9145889282226562,0.7621756,0.21,1.0,27481.0
-8.291012,17.998292131359985,0.34962553,-18.215483,5.202224,0.118137695,0.12672922,-9.924472,1.9345886210600536,-1.60222,6.17,1.403828,60.74819215138754,0.0021703472981850335,55,0.17721518987341772,9215.125571256312,0.37753418,0.029296875,5.0340033,4328.0,1.5305572,0.029296875,1.6022199491659799,0.16863738000392917,2.9701497554779053,0.761652,0.17,1.0,27987.0
-8.815065,18.26787456445993,0.41813272,-18.308327,4.8575444,0.12542208,0.20225304,-9.493261,1.9000398417313893,-1.5739324,6.7,1.5468459,54.889032999674484,2.2035092115404824e-05,56,0.30666666666666664,9353.151777003484,0.451544,0.04882812499999999,4.6872406,4403.0,1.749099,0.048828125,1.5739324490229287,0.2155085653066635,3.024890661239624,0.7774073,0.27,1.0,28507.0
-9.256931,18.684200210259974,0.43319106,-19.07215,5.0449815,0.1404211,0.20227593,-9.815217,2.010691225528717,-1.6432657,6.84,1.7256005,58.79779815673829,-0.0004104385152459127,57,0.30666666666666664,9566.310507653106,0.46242806,0.04882812499999999,4.89274,4478.0,1.9278765,0.048828125,1.6432657241821287,0.2155085653066635,3.078411817550659,0.8150514,0.34,1.0,29014.0
-9.796413,19.308036145853954,0.4603166,-19.669537,4.9906507,0.1458162,0.32933614,-9.873124,1.960082560777664,-1.6281675,7.63,1.9323753,58.96182727813721,-0.0010639385630687084,58,0.40298507462686567,9885.714506677225,0.48709983,0.06054687499999999,4.8255334,4545.0,2.2617116,0.060546875,1.6281674901644387,0.23849727213382718,3.1302037239074707,0.79533434,0.39,1.0,29529.0
-10.323071,18.923180343696565,0.4874626,-19.819237,4.7722125,0.15943447,0.34954557,-9.496166,1.898801436026891,-1.5977039,7.59,2.1926346,54.24977175394695,0.0035040521373351395,59,0.5362318840579711,9688.668335972641,0.52553976,0.078125,4.627677,4614.0,2.54218,0.078125,1.5977038145065305,0.26836818456649775,3.183048963546753,0.8036254,0.52,1.0,30052.0
-10.93754,18.417557325651856,0.48809245,-20.368656,4.7251906,0.1849095,0.3396291,-9.431115,1.8523094654083254,-1.5476745,6.84,2.5075068,53.42214107513428,-0.000241273393233616,60,0.45714285714285713,9429.78935073375,0.5356497,0.068359375,4.5198746,4684.0,2.8471358,0.068359375,1.5476745665073395,0.2523615956306458,3.237344980239868,0.8580095,0.45,1.0,30543.0
-11.483476,18.909018776908685,0.4771338,-20.694122,5.1022277,0.19221328,0.23022644,-9.210648,1.9159209330876668,-1.5921663,7.74,2.8041077,53.161888122558594,-0.00035079879065354723,61,0.453125,9681.417613777247,0.5160437,0.06054687499999999,4.930888,4748.0,3.0343344,0.060546875,1.592166264851888,0.23849727213382718,3.2902297973632812,0.8352091,0.5,1.0,31059.0
