total_secs,retmean_NSN,vpredmean_NSN,advstd_IDN,retmean_IDN,epcount,ups,ext_reward_std,ext_reward,vpredstd_IDN,advmean_NSN,eprew,rew_mean_NSN,vfn_loss,metric,advstd_NSN,vpredmean_IDN,rew_mean_IDN,retstd_NSN,eplen,tcount,best_ext_ret,tps,n_updates,eprew_recent,idn_pg_loss,vpredstd_NSN,loss,advmean_IDN,retstd_IDN
52.822214126586914,16.599983,16.592031,0.5036166,-1.6808258,101491.0,20.122742712391332,0.3755641579627991,0.169921875,0.0731883,0.007951842,0.91,0.16992188,0.1276657614313687,0.011229435069253666,0.017216172,-1.7369431,-0.011229435,0.30389684,5.82,569907.0,1.0,10302.844268744362,1061,0.90625,0.01768943853676319,0.3111337,0.011357080191373825,0.05611726,0.49967185
52.87255597114563,16.564945,16.562145,0.50412035,-1.6597369,101587.0,19.864190689986692,0.34964209794998163,0.142578125,0.072838604,0.0027991706,0.77,0.14257812,0.12735160808855048,0.011453029777233798,0.015208413,-1.6886138,-0.011453029,0.30351946,5.54,570437.0,1.0,10170.465633273187,1062,0.7604166666666666,0.018687600890795387,0.30945128,0.011373865224110581,0.02887699,0.50050545
52.92203116416931,16.60395,16.600237,0.08267167,-1.5506009,101683.0,20.212149541717668,0.3755641579627991,0.169921875,0.06862577,0.003715126,0.91,0.16992188,0.008214118230777483,0.0019167157782552144,0.011138883,-1.6666238,-0.0019167158,0.3040765,5.82,570995.0,1.0,10348.620565359446,1063,0.90625,0.0,0.31146154,0.0018552677550663556,0.116022885,0.043355536
52.97126793861389,16.548563,16.553986,1.2932931,-1.7687808,101779.0,20.310022565056123,0.34763431549072266,0.140625,0.06960778,-0.0054216515,0.76,0.140625,0.8524796003863836,0.032625804888084524,0.074214295,-1.6152349,-0.032625806,0.310406,5.52,571523.0,1.0,10398.731553308735,1064,0.75,0.021918648698677618,0.30965012,0.03150799311697483,-0.15354599,1.2919582
53.02036094665527,16.614208,16.614447,0.3499557,-1.5624385,101875.0,20.369499443934515,0.3772717714309693,0.17187499999999997,0.06581161,-0.00023871592,0.92,0.171875,0.06592831434682012,0.01122818079117375,0.015758673,-1.6511889,-0.011228184,0.3040844,5.84,572083.0,1.0,10429.183715294472,1065,0.9166666666666666,0.027204903463522598,0.30746838,0.011304023365179697,0.08875029,0.34583196
53.06938600540161,16.56504,16.564014,0.080558665,-1.553892,101971.0,20.39773180434381,0.34964209794998163,0.142578125,0.06466004,0.001025154,0.77,0.14257812,0.0058531079363698755,0.0020892653168023876,0.010183769,-1.6463498,-0.0020892653,0.30358255,5.54,572613.0,1.0,10443.63868382403,1066,0.7604166666666666,0.0,0.31080887,0.002028281257177394,0.09245783,0.046279065
53.11887311935425,16.598911,16.590733,0.074415274,-1.492653,102067.0,20.207280645969437,0.3755641579627991,0.169921875,0.06057465,0.008177921,0.91,0.16992188,0.006341250147670507,0.0018391196984642495,0.01261084,-1.6011685,-0.0018391197,0.3037247,5.82,573171.0,1.0,10346.127690736352,1067,0.90625,0.0,0.3117583,0.0016861810193707556,0.10851544,0.04112399
53.16842007637024,16.562752,16.556973,0.6748023,-1.5757053,102163.0,20.182874190987175,0.34964209794998163,0.142578125,0.064042084,0.0057804794,0.77,0.14257812,0.22912891290616244,0.020981283392757177,0.018741356,-1.5402735,-0.020981284,0.30339152,5.54,573701.0,1.0,10333.631585785433,1068,0.7604166666666666,0.02817574453850587,0.3073427,0.020913731345596414,-0.035431717,0.6739395
53.21770405769348,16.610077,16.610376,0.071254686,-1.4291775,102259.0,20.29056852045358,0.3755641579627991,0.169921875,0.05844037,-0.00029979233,0.91,0.16992188,0.006946242026363809,0.0017979501183920852,0.009411093,-1.5332003,-0.0017979501,0.30427396,5.82,574259.0,1.0,10388.771082472233,1069,0.90625,0.0,0.30815658,0.001796104324360689,0.10402287,0.03895112
53.26742196083069,16.56614,16.563326,0.30123755,-1.4330523,102355.0,20.113478986438533,0.34964209794998163,0.142578125,0.06096445,0.00281244,0.77,0.14257812,0.04642567003611475,0.011458776736011107,0.012096749,-1.4974036,-0.011458777,0.30337197,5.54,574789.0,1.0,10298.101241056529,1070,0.7604166666666666,0.0312806045015653,0.3073818,0.011622259470944604,0.064351305,0.29475376
